Nombre,Institución,Dependencia,Género,Entidad
Abundiz Cisneros Noemi,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Femenino,Baja California
Acosta Osorio Andrés Antonio,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Veracruz,Masculino,Veracruz
Aguado Rodríguez Graciano Javier,Universidad Politécnica Francisco I Madero,Universidad Politécnica Francisco I Madero,Masculino,Hidalgo
Aguilar Carrillo De Albornoz Javier,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Aguilar Hernandez Maria Montserrat,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Femenino,Distrito Federal
Aguilar Rodríguez Adriana,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Femenino,Aguascalientes
Aguilera Aguirre Selene,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tepic,Femenino,Nayarit
Aguilera Navarrete Israel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Morelia,Masculino,Michoacán
Ahumada Valenzuela Omar,Universidad de Occidente,Unidad Culiacán,Masculino,Sinaloa
Alamilla Gonzalez Javier Francisco,Universidad de Colima,Facultad de Arquitectura,Masculino,Colima
Alatorre Cobos Fulgencio,Colegio de Postgraduados,Colegio de Postgraduados,Masculino,Campeche
Alatorre Meda Manuel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tijuana,Masculino,Baja California
Alcalá Burgos José Vidal,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Alcázar Vara Luis Alberto,Instituto Mexicano del Petróleo,"Delegación Regional Norte ( Poza Rica, Ver. )",Masculino,Veracruz
Aldana Bobadilla Edwyn Javier,Centro de Investigación y de Estudios Avanzados del IPN,Centro de Investigación y de Estudios Avanzados del IPN,Masculino,Tamaulipas
Aldasoro Maya Elda Miriam,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
Alejo Molina Adalberto,Universidad Autónoma Del Estado de Morelos,Centro de Investigaciones Químicas,Masculino,Morelos
Alonso Gomez Alejandro Rafael,Universidad Autónoma Metropolitana,Division de Ciencias Básicas e Ingeniería. Azcapotzalco,Masculino,Distrito Federal
Alonso Lemus Ivonne Liliana,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Saltillo,Femenino,Coahuila
Alonso Segura Diana,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Nuevo León,Femenino,Nuevo León
Alonso Villegas Rodrigo,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Masculino,Yucatán
Alpuche Osorno Juan José,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Masculino,Oaxaca
Alvarado  Maria Del Socorro,"El Colegio de Michoacán, A.C.",Centro de Estudios Antropológicos,Femenino,Michoacán
Alvarado Barrientos María Susana,El Colegio de la Frontera Sur,Unidad Chetumal,Femenino,Quintana Roo
Alvarado Flores Jesús,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Masculino,Quintana Roo
Alvarado López Carlos Juan,Tecnológico Nacional de México (DGEST),Instituto Tecnológico Agropecuario No. 2 Conkal Yucatán,Masculino,Yucatán
Alvarado Rivera Josefina,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Alvarez Arellano María De Lourdes,Hospital Infantil de México Dr. Federico Gómez,Subdirección de Investigación,Femenino,Distrito Federal
Alvarez Bajo Osiris,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección General ,Femenino,Sonora
Alvarez Fitz Patricia,Universidad Autónoma de Guerrero,Escuela Superior de Agricultura,Femenino,Guerrero
